Lottery.pick.1970,Lottery.pick.1971,Month,Month.ordered.picks.1970
0.4410958904109589,0.598901098901099,0.9999999999999999,0.4545454545454545
0.10410958904109589,0.19780219780219782,0.9999999999999999,0.2727272727272727
0.4383561643835617,0.4395604395604396,0.7272727272727273,0.7272727272727273
0.6,0.43681318681318687,0.8181818181818182,0.5454545454545454
0.6876712328767124,0.7994505494505495,0.2727272727272727,0.6363636363636364
0.4438356164383562,0.4120879120879121,0.9999999999999999,0.9090909090909091
0.8849315068493151,0.6291208791208792,0.6363636363636364,0.0
0.16712328767123288,0.019230769230769232,0.2727272727272727,0.36363636363636365
0.810958904109589,0.5082417582417583,0.09090909090909091,0.9090909090909091
0.6246575342465753,0.7087912087912088,0.8181818181818182,0.5454545454545454
0.9424657534246575,0.32142857142857145,0.2727272727272727,0.6363636363636364
0.2547945205479452,0.07417582417582418,0.8181818181818182,0.09090909090909091
0.2219178082191781,0.8076923076923078,0.7272727272727273,0.4545454545454545
0.9260273972602739,0.6840659340659341,0.6363636363636364,0.0
0.9917808219178083,0.5824175824175825,0.09090909090909091,0.0
0.6986301369863014,0.7692307692307693,0.1818181818181818,0.2727272727272727
0.9671232876712329,0.03021978021978022,0.1818181818181818,0.2727272727272727
0.8958904109589041,0.8791208791208792,0.9999999999999999,0.0
0.11506849315068493,0.31043956043956045,0.9999999999999999,0.6363636363636364
0.5123287671232877,0.7857142857142858,0.5454545454545454,0.5454545454545454
0.4,0.38736263736263743,0.2727272727272727,0.5454545454545454
0.8301369863013699,0.8626373626373627,0.9999999999999999,0.6363636363636364
0.263013698630137,0.3241758241758242,0.9090909090909091,0.36363636363636365
0.8383561643835616,0.15659340659340662,0.6363636363636364,0.36363636363636365
0.6602739726027398,0.8598901098901099,0.7272727272727273,0.1818181818181818
0.9232876712328767,0.5109890109890111,0.09090909090909091,0.36363636363636365
0.11232876712328767,0.9560439560439561,0.5454545454545454,0.7272727272727273
0.36712328767123287,0.5961538461538463,0.9999999999999999,0.0
0.13972602739726028,0.15384615384615385,0.0,0.09090909090909091
0.21917808219178084,0.09890109890109891,0.2727272727272727,0.9999999999999999
0.1863013698630137,0.9368131868131869,0.4545454545454545,0.9999999999999999
0.33972602739726027,0.521978021978022,0.8181818181818182,0.36363636363636365
0.9397260273972603,0.18681318681318684,0.6363636363636364,0.7272727272727273
0.35616438356164387,0.9917582417582419,0.9090909090909091,0.9999999999999999
0.26575342465753427,0.9340659340659342,0.5454545454545454,0.0
0.1589041095890411,0.4835164835164836,0.0,0.8181818181818182
0.8356164383561644,0.43406593406593413,0.0,0.8181818181818182
0.7205479452054795,0.870879120879121,0.8181818181818182,0.4545454545454545
0.41643835616438357,0.771978021978022,0.5454545454545454,0.7272727272727273
