surgery,Age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination_-_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,site_of_lesion,type_of_lesion,subtype_of_lesion,pathology_cp_data
0.0,0.0,0.5063792889879846,0.26465785676311987,0.2559305172941537,0.4521452145214521,0.32046783625730996,0.366875,0.1515151515151515,0.4770491803278688,0.6360759493670887,0.4081408140814082,0.36919831223628696,0.3042553191489362,0.5283091787439614,0.5930555555555557,0.6788888888888889,0.28169014084507044,0.03967327887981331,0.5229885057471264,0.28481203007518796,0.0,0.07569934322549259,0.0,0.0,1.0
0.0,0.0,0.518518518518519,0.06493506493506496,0.09090909090909091,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,0.4081408140814082,0.36919831223628696,0.3042553191489362,0.5283091787439614,0.0,0.0,0.4225352112676057,0.7316219369894983,0.5229885057471264,0.28481203007518796,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.3888888888888893,0.11688311688311687,0.1818181818181818,0.6666666666666667,0.0,0.0,0.0,0.25,0.0,0.4081408140814082,0.0,0.0,0.5283091787439614,0.6666666666666667,0.25,0.5492957746478873,0.03150525087514586,0.0,0.26999999999999996,0.0,0.17297494526879106,0.0,0.0,0.0
1.0,0.0,0.4259259259259265,0.09090909090909094,0.36363636363636365,0.3333333333333333,0.0,0.4000000000000001,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,0.5283091787439614,0.0,1.0,0.5211267605633803,0.661610268378063,0.5229885057471264,0.28481203007518796,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.3333333333333339,0.5064935064935066,0.04545454545454544,0.6666666666666667,0.6666666666666667,0.6000000000000001,0.5,0.25,1.0,0.3333333333333333,0.36919831223628696,1.0,0.6666666666666667,0.6666666666666667,0.5,0.676056338028169,0.0571761960326721,1.0,0.7300000000000001,1.0,0.05368523473607395,0.0,0.0,0.0
0.0,0.0,0.5063792889879846,0.25974025974025977,0.09090909090909091,0.6666666666666667,1.0,0.8,0.5,0.25,0.6666666666666667,0.3333333333333333,0.5,0.0,0.5283091787439614,1.0,1.0,0.7887323943661971,0.04900816802800467,0.5229885057471264,0.28481203007518796,0.5,0.034054974458769156,0.0,0.0,1.0
0.0,0.0,0.22222222222222232,0.11688311688311687,0.09090909090909091,0.6666666666666667,0.0,0.4000000000000001,0.0,0.75,0.0,0.0,0.0,0.0,0.5283091787439614,0.5930555555555557,0.6788888888888889,0.323943661971831,0.6149358226371062,0.5229885057471264,0.28481203007518796,1.0,0.10231087326684506,0.0,0.0,1.0
1.0,0.0,0.5925925925925934,0.09740259740259744,0.09090909090909091,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.4081408140814082,0.36919831223628696,0.3042553191489362,0.5283091787439614,0.0,0.0,0.5492957746478873,0.6382730455075846,0.5229885057471264,0.28481203007518796,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.5925925925925934,0.11688311688311687,0.13636363636363638,0.6666666666666667,0.0,0.0,0.0,0.75,0.6666666666666667,0.0,0.36919831223628696,0.3042553191489362,0.5283091787439614,0.6666666666666667,0.6788888888888889,0.4647887323943662,0.8366394399066511,0.5229885057471264,0.28481203007518796,0.0,0.07567501824373632,0.0,0.0,1.0
0.0,1.0,0.685185185185186,0.8701298701298703,0.8636363636363636,1.0,0.0,1.0000000000000002,0.5,0.25,1.0,1.0,0.0,0.5,0.5333333333333333,0.6666666666666667,0.6788888888888889,0.6197183098591549,0.04550758459743291,1.0,0.52,0.5,0.053709559717830216,0.0,0.0,0.0
0.0,0.0,0.7407407407407405,0.5844155844155845,0.4545454545454545,0.4521452145214521,0.32046783625730996,0.8,0.0,0.4770491803278688,0.6666666666666667,0.6666666666666667,0.0,0.3042553191489362,0.5283091787439614,1.0,0.6788888888888889,0.7323943661971831,0.7082847141190198,0.0,0.19,1.0,0.034054974458769156,0.0,0.0,1.0
0.0,0.0,0.5,0.3506493506493507,0.40909090909090906,1.0,0.32046783625730996,0.6000000000000001,0.5,1.0,0.6666666666666667,0.0,0.0,1.0,0.5333333333333333,0.5930555555555557,0.75,0.7887323943661971,0.04084014002333722,0.5229885057471264,0.56,0.5,0.053733884699586475,0.0,0.0,0.0
1.0,0.0,0.6111111111111116,0.14285714285714285,0.13636363636363638,0.3333333333333333,0.32046783625730996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283091787439614,0.0,0.0,0.4084507042253521,0.8599766627771295,0.5229885057471264,0.28481203007518796,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.5370370370370363,0.3896103896103897,0.2559305172941537,0.0,0.32046783625730996,0.0,0.0,1.0,0.6666666666666667,0.0,0.5,0.0,0.5283091787439614,0.6666666666666667,0.6788888888888889,0.5070422535211268,0.0338389731621937,0.0,0.21000000000000002,0.0,0.0,0.0,0.0,0.0
