Unemployment_rate,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September
0.024390243902439046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.19512195121951215,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.2195121951219512,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.5609756097560975,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.1707317073170731,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.41463414634146345,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.09756097560975607,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.14634146341463417,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.7804878048780487,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.14634146341463417,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0.24390243902439024,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.2926829268292682,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.41463414634146345,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.7317073170731708,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5365853658536585,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.6829268292682927,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.04878048780487798,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.7560975609756097,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.024390243902439046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.24390243902439024,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.2926829268292682,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.9024390243902439,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.6829268292682927,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1170731707317072,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.7073170731707318,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.7073170731707318,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.2926829268292682,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.5365853658536585,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.09756097560975607,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.24390243902439024,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.07317073170731703,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0.5853658536585366,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.14634146341463417,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0.36585365853658536,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0.5609756097560975,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.4878048780487806,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.7317073170731708,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.9756097560975611,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.7317073170731708,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.07317073170731703,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.2682926829268293,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.4878048780487806,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0.46341463414634154,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.024390243902439046,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.3902439024390244,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.9756097560975611,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.1707317073170731,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.3902439024390244,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.8292682926829268,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.2926829268292682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.6097560975609756,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.8292682926829268,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.31707317073170727,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.14634146341463417,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.36585365853658536,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.5121951219512194,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.3414634146341463,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.4878048780487806,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.3902439024390244,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.3902439024390244,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.46341463414634154,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.2926829268292682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.926829268292683,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.41463414634146345,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.36585365853658536,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.41463414634146345,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.2195121951219512,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.24390243902439024,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1707317073170731,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.31707317073170727,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.024390243902439046,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.12195121951219512,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.6829268292682927,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0.5121951219512194,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
