,name,accuracy,f1,roc_auc
0,dataset_1000_hypothyroid,0.9143109540636042,0.95523765574527,0.49521531100478466
1,dataset_1002_ipums_la_98-small,0.8931433659839715,0.9435559736594544,0.4992533598805376
2,dataset_1004_synthetic_control,0.9388888888888889,0.8,0.8566666666666667
3,dataset_1013_analcatdata_challenger,0.9761904761904762,0.8,0.8333333333333333
4,dataset_1014_analcatdata_dmft,0.8041666666666667,0.0,0.5
5,dataset_1016_vowel,0.9865319865319865,0.9230769230769231,0.9425925925925926
6,dataset_1018_ipums_la_99-small,0.9321778447626224,0.9648300117233294,0.5116865586814436
7,dataset_1020_mfeat-karhunen,0.9433333333333334,0.7258064516129032,0.8574074074074073
8,dataset_1021_page-blocks,0.8995127892813642,0.9467570183930301,0.5273874135814434
9,dataset_1022_mfeat-pixel,0.9366666666666666,0.7164179104477612,0.875925925925926
