utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
0.034482758620689655,0.3214285714285714,0.35512085342646815,0.6237437919691193,0.35173010760804035,0.6028390151200248,0.6776965392555552,0.7941754747857017,0.35308723641889217,0.30373981133845157,0.688435451796589,0.21184050107909574,0.5873293244215363,0.6113605824243887
0.26436781609195403,0.35714285714285715,0.9593943468263672,0.49937107369581013,0.5396042110734148,0.7048937940343857,0.3714398310592911,0.7277026341114797,0.37952419984948504,0.2954577533084978,0.5256271112392464,0.3201159564165578,0.348884279338739,0.6621180070755954
0.16091954022988508,0.42857142857142855,0.6662010817817929,0.32465395099278654,0.7682132555755449,0.6591513006251105,0.6170837058379673,0.5935533908043643,0.1889347464492348,0.45433485375952615,0.4965132880770885,0.5557106360332261,0.4294340729566073,0.30305778053056465
0.10344827586206896,0.10714285714285714,0.5753685061956715,0.6773482473588085,0.33352377876864603,0.1387319082218868,0.5321345947440115,0.37948097405682407,0.4697479112440502,0.618580039101877,0.5172161013571954,0.4436292413835453,0.29394961622002913,0.516046064856126
0.13793103448275862,0.10714285714285714,0.5492727635520689,0.6214405860995126,0.3715783117680948,0.35573286827233414,0.6293576816473712,0.47028087172969396,0.48684143669978963,0.5554679340021509,0.40133938542950964,0.1638549623691749,0.5809569705477682,0.7167202935217358
0.3218390804597701,0.3214285714285714,0.4384892283834473,0.3494932508532865,0.7273402575217189,0.6897460577274208,0.7486583607471842,0.549815851771843,0.24245962697191514,0.5906860312323283,0.43352320751913587,0.4574700674067033,0.45599625648654496,0.19105420074115287
0.5862068965517241,0.5,0.11664709246033711,0.7582455128948828,0.4936149823869819,0.7814225619860666,0.7963684222322387,0.2737063942274505,0.6116184203588395,0.28989388584692355,0.44846288499213316,0.578576975282503,0.5126629929948806,0.0925378187429795
0.26436781609195403,0.35714285714285715,0.7889276727496247,0.2859782724401104,0.5112451978610238,0.6083092704909805,0.6365022997751276,0.6468812558624918,0.1309672749584167,0.41395447099094207,0.4217981731538434,0.45241424483127857,0.6533785907348042,0.3404854761329876
0.05747126436781609,0.2142857142857143,0.3113648020505376,0.6082612410360558,0.3070865765585873,0.3620196899634393,0.583159843709922,0.40330776508614563,0.6249557802096666,0.4218240196984584,0.28818630957593677,0.38347748994784264,0.6207150390065721,0.7358934251551066
0.21839080459770116,0.2857142857142857,0.3438721574435774,0.2881036645970904,0.5389005502217034,0.30597897742003227,0.743921844999888,0.5314546288814264,0.1780564383535379,0.5620862954932673,0.1116928584149951,0.3976752427165835,0.8623420705261172,0.6185464060384014
0.20689655172413796,0.10714285714285714,0.4686463398466114,0.7136852370364434,0.32953875580532144,0.25034285316647303,0.5592039565595265,0.30263573571988356,0.5214493545588328,0.6578139555637308,0.45616248166118434,0.4013071962316723,0.4247504906377242,0.6146752994530585
0.1149425287356322,0.5357142857142857,0.332461087058124,0.3822767570765671,0.6152145520694698,0.4937602879042881,0.7997558278816916,0.4640218622725556,0.33838086062017964,0.46572120379872817,0.12101798015718007,0.7049047363795347,0.6262255466856635,0.1756498210105294
0.05747126436781609,0.2857142857142857,0.2935926725956201,0.537862160883136,0.38491347312283064,0.5152521163908754,0.642047534496627,0.4806475845518518,0.6453577608727957,0.3224256640899252,0.23729615748307326,0.38800623790255,0.6564222906670577,0.6262768090534029
