total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters
0.58157602663707,0.5949367088607596,0.37320574162679426,0.0,0.7133333333333334,0.5185185185185186,0.33333333333333337,0.5845323741007195,0.572992700729927,0.5161290322580645,0.5776487663280115,0.5072485207100592,0.021656250000000002,0.6437499999999999,0.3347349700344486,0.5072262317535802,0.334734970816812,0.8380952380952382,0.8380952380952382,0.5740740740740741,0.8461538461538463,1.0,0.7297297297297298,0.6135212188824449,0.428577551107873,0.5740740740740741,0.09394,0.38566041113253996,0.0
1.0,1.0,1.0,0.25,1.0,1.0,0.6666666666666666,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.5978552985887484,0.43269189559850857,1.0,0.12,0.3029110275330124,0.0
0.04550499445061043,0.05569620253164557,0.023923444976076555,0.0,0.056666666666666664,0.08333333333333333,0.29166666666666663,0.061151079136690656,0.06204379562043795,0.12903225806451613,0.061683599419448475,0.04186390532544379,0.08791875,0.2932687499999999,0.014332327108206316,0.04186477948751084,0.01433232795074463,0.009523809523809525,0.009523809523809525,0.09259259259259259,0.0,0.0,0.013513513513513514,0.20879190435876543,0.0,0.09259259259259259,0.41666666666666663,0.14535353182455718,0.75
0.29189789123196447,0.28354430379746837,0.14354066985645933,0.0,0.41333333333333333,0.4259259259259259,0.9166666666666666,0.2949640287769784,0.31630170316301703,0.5483870967741935,0.3076923076923077,0.2752958579881657,0.006029166666666669,0.8683333333333333,0.24245387192676138,0.27529327561288625,0.24245387180154937,0.3047619047619048,0.3047619047619048,0.14814814814814814,0.3076923076923077,0.29411764705882354,0.28378378378378377,0.40192580050479076,0.428577551107873,0.14814814814814814,0.06060666666666667,0.2993545312549682,0.0
0.2641509433962264,0.21265822784810126,0.2200956937799043,0.0625,0.37,0.3796296296296296,0.5416666666666666,0.41007194244604317,0.4537712895377129,0.43548387096774194,0.4361393323657475,0.3702662721893491,0.005872916666666665,0.8712958333333334,0.3262207750342126,0.37026228354222157,0.32622077908598934,0.36190476190476195,0.36190476190476195,0.0,0.3653846153846154,0.5,0.28378378378378377,0.45401366680117206,0.428577551107873,0.0,0.0,0.3322501590805868,0.0
0.011098779134295227,0.010126582278481013,0.014354066985645932,0.0,0.020000000000000004,0.027777777777777776,0.33333333333333337,0.01798561151079137,0.0267639902676399,0.08870967741935484,0.023222060957910018,0.015384615384615384,0.13194375000000003,0.20833333333333334,0.00432966825539144,0.015384402370018164,0.004329670602113897,0.01904761904761905,0.01904761904761905,0.0,0.009615384615384616,0.0,0.02702702702702703,0.8241671875453297,0.857155102215746,0.0,0.0,0.7143419049080826,0.5
0.07214206437291898,0.09873417721518987,0.004784688995215311,0.0,0.09333333333333335,0.2222222222222222,0.41666666666666663,0.14928057553956833,0.14476885644768858,0.27419354838709675,0.14658925979680695,0.11449704142011834,0.05411874999999999,0.4114583333333333,0.05093258930678118,0.11449388153290807,0.05093258974643542,0.09523809523809525,0.09523809523809525,0.0,0.09615384615384616,0.029411764705882353,0.12162162162162163,0.7958155641181853,0.428577551107873,0.0,0.0,0.5312176760220314,0.0
0.05771365149833519,0.07848101265822785,0.014354066985645932,0.0625,0.07,0.14814814814814814,0.41666666666666663,0.05755395683453238,0.05352798053527981,0.2096774193548387,0.055152394775036286,0.04201183431952663,0.12367708333333334,0.2208333333333333,0.011241800764475484,0.04201122702310281,0.011241803090811535,0.04761904761904762,0.04761904761904762,0.037037037037037035,0.04807692307692308,0.058823529411764705,0.04054054054054054,0.3846247168134358,0.428577551107873,0.037037037037037035,0.08333333333333333,0.2490375673565458,0.0
0.07103218645948944,0.08860759493670886,0.05263157894736842,0.0,0.07,0.14814814814814814,0.33333333333333337,0.046762589928057555,0.05231143552311436,0.1935483870967742,0.05007256894049347,0.037721893491124266,0.1898125,0.14583333333333334,0.007222995611344438,0.03772120179107999,0.0072229979495334155,0.05714285714285715,0.05714285714285715,0.1111111111111111,0.04807692307692308,0.029411764705882353,0.06756756756756757,0.6043959521793827,0.5142930613294475,0.1111111111111111,0.16666666666666666,0.31478171709681557,0.0
0.15871254162042175,0.18227848101265823,0.07655502392344497,0.0,0.19333333333333333,0.3888888888888889,0.5416666666666666,0.19784172661870503,0.19829683698296838,0.4435483870967742,0.1981132075471698,0.17071005917159762,0.05723333333333333,0.39719166666666667,0.0729339569274692,0.17070754617967865,0.07293396054653518,0.2,0.2,0.018518518518518517,0.20192307692307693,0.1764705882352941,0.20270270270270271,0.6368354841006733,0.428577551107873,0.018518518518518517,0.010416666666666666,0.39983143934858806,0.0
