Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position_Catcher,Position_Designated_hitter,Position_First_base,Position_Outfield,Position_Second_base,Position_Shortstop,Position_Third_base
0.25,0.4412624196376388,0.3824360553583074,0.3216531895777179,0.3070342205323194,0.26717557251908397,0.1779935275080906,0.054304635761589407,0.2060632688927944,0.24816086316821975,0.3030419715055834,0.3951219512195121,0.40484429065743943,0.2515337423312884,0.7888888888888888,False,False,False,False,False,True,False
0.0,0.22969023962594975,0.19810158684153323,0.15094339622641512,0.17252851711026618,0.20229007633587787,0.07119741100323625,0.07417218543046358,0.14103690685413006,0.09612555174104953,0.12668463611859837,0.47804878048780486,0.4221453287197232,0.376278118609407,0.9611111111111112,False,False,True,False,False,False,False
0.25,0.44360023378141433,0.3836678501557858,0.2969451931716083,0.36074144486692017,0.3015267175572519,0.17152103559870552,0.27947019867549666,0.3809314586994727,0.17949975478175578,0.33500192529842127,0.5902439024390242,0.48788927335640153,0.5276073619631902,0.9555555555555557,False,False,True,False,False,False,False
0.25,0.37843366452367033,0.34381566553148324,0.17699910152740345,0.30750950570342206,0.27608142493638677,0.06796116504854369,0.045033112582781455,0.20035149384885764,0.1049534085335949,0.11590296495956873,0.526829268292683,0.3771626297577855,0.28834355828220865,0.9055555555555559,False,False,False,False,True,False,False
0.0625,0.24868497954412622,0.2695456850952829,0.31850853548966757,0.22504752851711024,0.15139949109414758,0.15210355987055016,0.04105960264900662,0.1766256590509666,0.16871015203531145,0.11166730843280709,0.4390243902439024,0.4359861591695502,0.261758691206544,0.4722222222222223,False,False,False,True,False,False,False
0.0625,0.36879018118059614,0.34113470038403015,0.3225516621743037,0.3215304182509506,0.3142493638676845,0.23300970873786409,0.05033112582781457,0.23725834797891038,0.29573320255026975,0.044666923373122835,0.5902439024390242,0.6159169550173009,0.376278118609407,0.7722222222222221,False,False,False,True,False,False,False
0.5625,0.6288720046756282,0.5401057894355482,0.7987421383647799,0.6192965779467681,0.6603053435114504,0.22977346278317154,0.6900662251655629,0.7987697715289982,0.9818538499264347,0.27300731613400075,0.8926829268292682,1.0,0.8854805725971373,0.8555555555555552,False,False,False,True,False,False,False
0.25,0.3419053185271771,0.3083834504746033,0.3117699910152741,0.3486216730038023,0.40076335877862596,0.17475728155339806,0.08344370860927153,0.33040421792618624,0.23393820500245222,0.09510974201001154,0.853658536585366,0.7370242214532872,0.556237218813906,0.8777777777777773,False,False,False,True,False,False,False
0.375,0.5026300409117475,0.426345916962539,0.3414195867026056,0.3673954372623574,0.37277353689567433,0.26537216828478966,0.14437086092715232,0.3150263620386643,0.26826875919568416,0.3242202541393916,0.48292682926829267,0.45674740484429077,0.38445807770961155,0.8555555555555552,False,False,False,False,True,False,False
0.125,0.2796610169491525,0.3123686689370336,0.33557951482479786,0.2778041825095057,0.21755725190839695,0.1941747572815534,0.017218543046357615,0.12697715289982425,0.13094654242275627,0.06546014632268002,0.5170731707317073,0.4152249134948096,0.2842535787321064,0.27222222222222214,False,False,False,True,False,False,False
