Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position_Catcher,Position_Designated_hitter,Position_First_base,Position_Outfield,Position_Second_base,Position_Shortstop,Position_Third_base
0.25,0.5151957919345411,0.498514600391276,0.5035938903863432,0.5175855513307985,0.5470737913486006,0.22006472491909387,0.06490066225165562,0.4543057996485061,0.4046101029916626,0.04389680400462072,0.7365853658536585,0.6816608996539792,0.4335378323108385,0.7277777777777779,False,False,False,False,False,True,False
0.125,0.4295733489187609,0.4205492355626404,0.4119496855345912,0.3809410646387833,0.29898218829516543,0.3300970873786408,0.12450331125827814,0.23022847100175747,0.2280529671407553,0.3053523296110897,0.5463414634146342,0.46712802768166095,0.39263803680981607,0.8944444444444439,False,False,False,True,False,False,False
0.0625,0.2831677381648159,0.23121512933845373,0.20080862533692725,0.2053231939163498,0.17938931297709923,0.05501618122977347,0.21589403973509932,0.23813708260105448,0.07994114762138303,0.25336927223719674,0.5073170731707317,0.39792387543252583,0.5276073619631902,0.9444444444444446,False,False,False,True,False,False,False
0.0,0.18468731735827001,0.19650749945656115,0.18867924528301888,0.19011406844106465,0.23282442748091603,0.16181229773462785,0.06490066225165562,0.15026362038664323,0.09465424227562531,0.05121293800539083,0.6097560975609755,0.5086505190311419,0.474437627811861,0.6111111111111116,True,False,False,False,False,False,False
0.0625,0.14085330216247807,0.06006811100644881,0.03953279424977538,0.04325095057034221,0.033078880407124686,0.01941747572815534,0.0,0.019332161687170474,0.027954879843060325,0.05121293800539083,0.25365853658536586,0.25605536332179935,0.10633946830265845,0.8666666666666663,False,False,False,False,False,True,False
0.0625,0.1472822910578609,0.12397652344033043,0.11769991015274035,0.1088403041825095,0.10814249363867685,0.03883495145631068,0.007947019867549669,0.0641476274165202,0.10936733692986758,0.10165575664227955,0.47317073170731705,0.5259515570934254,0.25562372188139065,0.6944444444444446,False,False,False,False,True,False,False
0.0625,0.17036820572764466,0.17701615824940226,0.16666666666666669,0.14519961977186313,0.09287531806615777,0.09061488673139159,0.006622516556291391,0.10720562390158171,0.07454634624816087,0.04890257989988448,0.40975609756097553,0.38408304498269885,0.20245398773006135,0.594444444444445,True,False,False,False,False,False,False
0.4375,0.5388661601402688,0.5629302224476488,0.7273135669362084,0.5903041825095057,0.35496183206106874,0.5210355987055016,0.0913907284768212,0.4362917398945518,0.4173614516920059,0.11744320369657296,0.7560975609756098,0.6608996539792389,0.441717791411043,0.5277777777777777,False,False,False,True,False,False,False
0.3125,0.47749853886616017,0.4217810303601188,0.30817610062893086,0.3666825095057034,0.29898218829516543,0.11326860841423948,0.26490066225165565,0.3238137082601054,0.2986758214811182,0.28994994224104736,0.4926829268292683,0.5121107266435987,0.4314928425357874,0.9611111111111112,True,False,False,False,False,False,False
0.3125,0.4701928696668614,0.4404753278747917,0.3400718778077269,0.41682509505703425,0.4211195928753181,0.20064724919093851,0.15496688741721854,0.3220562390158172,0.15007356547327122,0.300731613400077,0.6048780487804877,0.44636678200692037,0.4335378323108385,0.9055555555555559,False,False,False,True,False,False,False
0.125,0.33547632963179425,0.2981667995072821,0.21922731356693623,0.2599809885931559,0.17938931297709923,0.1488673139158576,0.07019867549668875,0.210896309314587,0.26924963217263365,0.15633423180592992,0.4926829268292683,0.5363321799307958,0.3108384458077709,0.8499999999999996,False,False,False,False,True,False,False
0.125,0.33518410286382233,0.30628215346714005,0.2578616352201258,0.282319391634981,0.24173027989821882,0.13268608414239483,0.17218543046357615,0.25307557117750434,0.16380578715056401,0.29842125529457064,0.5609756097560976,0.47058823529411775,0.45807770961145194,0.9111111111111114,False,False,False,True,False,False,False
0.0,0.040035067212156626,0.022244764872110717,0.007637017070979336,0.009980988593155892,0.010178117048346055,0.003236245954692557,0.007947019867549669,0.010105448154657293,0.0058852378616969115,0.04197150558336542,0.0,0.03806228373702414,0.042944785276073594,0.7277777777777779,False,False,False,False,False,False,True
0.0,0.25189947399181767,0.22107093688863128,0.17924528301886794,0.19938212927756654,0.15139949109414758,0.06472491909385114,0.10198675496688742,0.16608084358523725,0.1221186856302109,0.15787447054293416,0.526829268292683,0.47058823529411775,0.38241308793456036,0.7055555555555557,False,False,False,False,False,False,True
0.0,0.18614845119812976,0.08463154843851896,0.0646900269541779,0.06844106463878327,0.04961832061068703,0.045307443365695796,0.010596026490066225,0.03998242530755712,0.05983325159391859,0.08394301116673084,0.37073170731707306,0.39446366782006925,0.21267893660531695,0.8277777777777775,False,False,False,True,False,False,False
0.0,0.2805376972530684,0.2725889428302297,0.22282120395327945,0.24358365019011408,0.15521628498727735,0.15210355987055016,0.013245033112582781,0.1625659050966608,0.12849435998038256,0.1716155587449388,0.5170731707317073,0.4359861591695502,0.2638036809815952,0.75,False,False,False,True,False,False,False
0.5625,0.5786090005844534,0.5291645532932397,0.5188679245283019,0.4995247148288974,0.40076335877862596,0.15857605177993528,0.4741721854304636,0.6190685413005272,0.3369298675821481,0.1594147092799384,0.6048780487804877,0.5397923875432524,0.5746421267893662,0.9388888888888891,True,False,False,False,False,False,False
0.1875,0.2603740502630041,0.2066516919063836,0.1293800539083558,0.16777566539923955,0.13104325699745548,0.03236245954692557,0.031788079470198675,0.09578207381370825,0.09318293281020108,0.0843280708509819,0.3999999999999999,0.3391003460207611,0.2188139059304704,0.8388888888888886,False,False,False,False,True,False,False
0.0625,0.16452367036820573,0.12368668937033549,0.09658580413297395,0.12119771863117872,0.0979643765903308,0.06148867313915858,0.019867549668874173,0.10017574692442881,0.048553212358999516,0.03927608779360801,0.6048780487804877,0.46020761245674735,0.3456032719836401,0.8111111111111109,False,False,False,True,False,False,False
0.0,0.22589129164231442,0.13194696036519094,0.09703504043126684,0.11026615969581749,0.1068702290076336,0.03236245954692557,0.015894039735099338,0.06239015817223198,0.09269249632172634,0.07393145937620331,0.41951219512195115,0.4359861591695502,0.23721881390593053,0.822222222222222,False,False,False,False,False,True,False
0.4375,0.5131502045587375,0.5142380986885009,0.4456424079065589,0.5095057034220533,0.5203562340966922,0.15210355987055016,0.31920529801324504,0.48506151142355003,0.21137812653261404,0.3507893723527147,0.6682926829268292,0.5051903114186851,0.5419222903885481,0.9555555555555557,False,False,True,False,False,False,False
0.0,0.11864406779661016,0.09803637417578437,0.06424079065588499,0.09125475285171103,0.11323155216284989,0.03559870550161812,0.03443708609271523,0.08743409490333919,0.061794997547817566,0.0627647285329226,0.526829268292683,0.47058823529411775,0.3885480572597138,0.9055555555555559,True,False,False,False,False,False,False
