DVRT,Prestige_score,Sex_female,Sex_male,Educational_level_3rd_level_complete,Educational_level_3rd_level_incomplete,Educational_level_Junior_cycle_incomplete-secondary_school,Educational_level_Junior_cycle_incomplete-vocational_school,Educational_level_Junior_cycle_terminal_leaver-secondary_school,Educational_level_Junior_cycle_terminal_leaver-vocational_school,Educational_level_Primary_terminal_leaver,Educational_level_Senior_cycle_incomplete-secondary_school,Educational_level_Senior_cycle_incomplete-vocational_school,Educational_level_Senior_cycle_terminal_leaver-secondary_school,Type_school_primary_terminal_leaver,Type_school_secondary,Type_school_vocational
0.3466666666666667,0.33333333333333337,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.72,0.33333333333333337,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3733333333333333,0.3508771929824561,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.5066666666666668,0.4385964912280701,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.06666666666666665,0.3672736694055815,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.3600000000000001,0.17543859649122806,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.24,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.41333333333333333,0.17543859649122806,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.7733333333333334,0.17543859649122806,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.45333333333333337,0.3672736694055815,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
0.45333333333333337,0.33333333333333337,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.52,0.3157894736842105,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
0.09333333333333338,0.3672736694055815,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.56,0.6842105263157895,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.45333333333333337,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.45333333333333337,0.33333333333333337,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.06666666666666665,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0.2666666666666666,0.17543859649122806,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.72,0.8947368421052632,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0.6266666666666667,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
0.52,0.4385964912280701,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
0.4666666666666668,0.5087719298245613,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3466666666666667,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.7733333333333334,0.33333333333333337,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6400000000000001,0.17543859649122806,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.8133333333333335,0.15789473684210525,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3466666666666667,0.33333333333333337,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.3333333333333335,0.33333333333333337,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.6533333333333333,0.9999999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.4933333333333334,0.4385964912280701,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.4666666666666668,0.4385964912280701,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.6800000000000002,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.06666666666666665,0.22807017543859642,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
0.3600000000000001,0.9999999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.4666666666666668,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.7066666666666668,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0.43999999999999995,0.7017543859649124,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.8266666666666667,0.7719298245614034,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6666666666666667,0.8421052631578948,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.3466666666666667,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.3600000000000001,0.3508771929824561,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0.6000000000000001,0.8947368421052632,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.52,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.6533333333333333,0.3672736694055815,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.42666666666666675,0.7017543859649124,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.9333333333333333,0.7719298245614034,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.5066666666666668,0.4385964912280701,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.45333333333333337,0.6842105263157895,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.06666666666666665,0.33333333333333337,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
0.6933333333333334,0.5789473684210525,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.4666666666666668,0.33333333333333337,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.5866666666666667,0.17543859649122806,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.30666666666666664,0.6842105263157895,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.6800000000000002,0.9999999999999999,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6933333333333334,0.4385964912280701,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.17333333333333334,0.49122807017543857,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.43999999999999995,0.17543859649122806,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0.3733333333333333,0.4385964912280701,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.40000000000000013,0.33333333333333337,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.3333333333333335,0.7017543859649124,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.3333333333333335,0.4385964912280701,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0.6533333333333333,0.6842105263157895,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.8,0.9298245614035087,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
0.7733333333333334,0.29824561403508765,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.5066666666666668,0.17543859649122806,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.06666666666666665,0.7017543859649124,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
0.41333333333333333,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
0.3733333333333333,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.3600000000000001,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.6533333333333333,0.3672736694055815,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.17333333333333334,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.40000000000000013,0.4385964912280701,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0.5333333333333334,0.22807017543859642,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0.21333333333333337,0.33333333333333337,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.8933333333333333,0.33333333333333337,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
0.6000000000000001,0.38596491228070173,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6400000000000001,0.33333333333333337,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3733333333333333,0.29824561403508765,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.6266666666666667,0.7719298245614034,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3866666666666667,0.33333333333333337,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.4933333333333334,0.4385964912280701,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.5333333333333334,0.49122807017543857,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.3466666666666667,0.17543859649122806,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0.19999999999999996,0.8245614035087719,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
