RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
0.007023705004385761,0.445112781954887,0.7126948775055679,0.47352024922118374,0.5357142857142865,0.2834138486312399,0.0,0.3777777777777777,0.0
0.6812993854258025,0.49022556390977456,0.8240534521158129,0.1308411214953271,0.31428571428571317,0.00322061191626409,0.4079925650557621,0.0,0.19607843137254902
0.2607550482879759,0.34135338345864663,0.7728285077951003,0.46728971962616817,0.5196428571428573,0.10628019323671498,0.2555762081784386,0.0,0.0
0.4811237928007017,0.5203007518796992,0.841870824053452,0.19314641744548286,0.2767857142857135,0.037037037037037035,0.3447955390334573,0.0,0.7254901960784313
0.2085162423178275,0.3142857142857143,0.7839643652561247,0.5015576323987538,0.5446428571428577,0.1111111111111111,0.23605947955390327,0.0,0.0
0.2932396839332654,0.29473684210526296,0.7884187082405345,0.3271028037383178,0.5607142857142868,0.09178743961352656,0.30855018587360594,0.0,0.0
0.6799824407374899,0.07518796992481191,0.0,0.14953271028037385,0.6071428571428559,0.0,0.8596654275092934,0.0,0.0
0.3055311676909582,0.3909774436090223,0.8574610244988864,0.2990654205607477,0.5303571428571434,0.08373590982286634,0.2499999999999999,0.0,0.0
0.26558384547848846,0.3984962406015038,0.7795100222717148,0.2679127725856697,0.5428571428571427,0.08051529790660225,0.278810408921933,0.0,0.0
0.3323090430201887,0.3308270676691729,0.8151447661469933,0.39563862928348914,0.48214285714285765,0.0933977455716586,0.28996282527881045,0.0,0.2352941176470588
0.46619841966636955,0.4541353383458646,0.22494432071269485,0.33333333333333337,0.42499999999999893,0.05314009661835749,0.5306691449814125,0.0,0.0
0.37357330992098525,0.6075187969924811,0.8351893095768373,0.0,0.3946428571428555,0.004830917874396135,0.3317843866171003,0.0,0.0
0.5289727831431037,0.4496240601503758,0.8285077951002227,0.06853582554517135,0.34642857142857153,0.014492753623188404,0.4302973977695167,0.0,0.3137254901960784
0.7129060579455597,0.043609022556390764,0.0,0.14330218068535824,0.5839285714285705,0.0,0.8856877323420074,0.0,0.0
0.2989464442493386,0.41654135338345855,0.7483296213808462,0.41744548286604355,0.38035714285714306,0.09178743961352656,0.31412639405204457,0.0,0.1764705882352941
