Round,Judge_Associated_Press,Judge_Boxing_Monthly-Leach,Judge_Boxing_Times,Judge_E._Williams,Judge_ESPN,Judge_HBO-Lederman,Judge_L._OConnell,Judge_S._Christodoulu,Judge_Sportsline,Judge_Sportsticker,Official_No,Official_Yes
0.6363636363636364,False,False,True,False,False,False,False,False,False,False,True,False
0.9090909090909091,False,False,False,False,True,False,False,False,False,False,True,False
0.8181818181818182,True,False,False,False,False,False,False,False,False,False,True,False
0.9999999999999999,False,False,False,False,True,False,False,False,False,False,True,False
0.8181818181818182,False,False,False,False,False,False,False,True,False,False,False,True
0.0,False,False,False,False,False,False,False,True,False,False,False,True
0.8181818181818182,False,True,False,False,False,False,False,False,False,False,True,False
0.6363636363636364,False,False,False,False,False,False,False,True,False,False,False,True
0.0,False,False,False,False,False,False,False,False,False,True,True,False
0.0,False,False,False,False,False,True,False,False,False,False,True,False
0.5454545454545454,False,False,False,False,False,False,False,False,False,True,True,False
0.8181818181818182,False,False,True,False,False,False,False,False,False,False,True,False
0.9090909090909091,False,True,False,False,False,False,False,False,False,False,True,False
0.8181818181818182,False,False,False,False,False,False,False,False,False,True,True,False
0.4545454545454545,False,True,False,False,False,False,False,False,False,False,True,False
0.0,False,False,False,False,False,False,False,False,True,False,True,False
0.1818181818181818,True,False,False,False,False,False,False,False,False,False,True,False
0.0,False,False,False,False,True,False,False,False,False,False,True,False
0.36363636363636365,False,False,False,False,False,False,True,False,False,False,False,True
0.0,False,False,True,False,False,False,False,False,False,False,True,False
0.5454545454545454,False,False,False,False,True,False,False,False,False,False,True,False
0.9999999999999999,False,False,True,False,False,False,False,False,False,False,True,False
0.9999999999999999,False,False,False,False,False,False,False,False,True,False,True,False
0.36363636363636365,False,False,False,False,False,True,False,False,False,False,True,False
0.0,False,False,False,False,False,False,True,False,False,False,False,True
0.5454545454545454,False,False,False,True,False,False,False,False,False,False,False,True
0.9999999999999999,False,False,False,False,False,False,False,True,False,False,False,True
0.36363636363636365,False,False,False,False,True,False,False,False,False,False,True,False
0.8181818181818182,False,False,False,False,True,False,False,False,False,False,True,False
