ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G
0.003892215568862276,0.38888888888888884,0.25552825552825553,0.25116279069767444,0.034554973821989535,0.6142061281337048,0.058988764044943826,0.13532376890267545,0.33333333333333304,0.2948453608247423,0.0579345088161209,0.5324074074074074,0.03333333333333334,0.1561014263074485,0.5384615384615383,0.28185328185328185,0.39443155452436196,0.2512820512820513,0.4887218045112783,0.14285714285714285,0.24493758668515953,0.2592592592592591,0.05362776025236593,0.09970674486803519,0.05172413793103449,0.7641242937853107,0.005714285714285714,0.0682583409856137,0.5452229299363057,0.49229074889867847,0.7833152762730228,0.8277456647398843,0.8532494758909853,0.8475452196382429,0.8403041825095057,0.8832772166105498
0.017964071856287425,0.49999999999999956,0.32432432432432434,0.45000000000000007,0.05445026178010472,0.6155988857938719,0.1151685393258427,0.33889104303993794,0.583333333333333,0.5917525773195876,0.11838790931989923,0.599537037037037,0.13333333333333333,0.37282091917591126,0.5384615384615383,0.4633204633204633,0.6334106728538282,0.9282051282051282,0.44486215538847124,0.05714285714285714,0.34479889042995837,0.2592592592592591,0.03470031545741324,0.2668621700879766,0.05603448275862069,0.8135593220338982,0.0,0.1916131007040098,0.6828025477707007,0.1751101321585903,0.9685807150595882,0.9502890173410404,0.7368972746331237,0.9276485788113695,0.752851711026616,0.9012345679012344
0.055089820359281436,0.4444444444444442,0.26781326781326786,0.3476744186046512,0.041884816753926704,0.7242339832869082,0.1151685393258427,0.39433889104303993,0.33333333333333304,0.23711340206185572,0.0491183879093199,0.7060185185185184,0.05555555555555555,0.45285261489698897,0.5384615384615383,0.3243243243243243,0.44547563805104406,0.0871794871794872,0.8095238095238098,0.05714285714285714,0.5029126213592233,0.2962962962962963,0.03785488958990536,0.24340175953079177,0.06896551724137931,0.6793785310734463,0.0,0.3673094582185491,0.31337579617834393,0.643171806167401,0.9534127843986999,0.9040462427745666,0.679245283018868,0.900516795865633,0.7173637515842839,0.8675645342312007
0.5688622754491018,0.38888888888888884,0.36363636363636365,0.4418604651162791,0.10471204188481675,0.5919220055710308,0.12921348314606743,0.267157813105855,0.2499999999999991,0.39793814432989694,0.06801007556675062,0.6493055555555556,0.1,0.29675118858954047,0.3076923076923084,0.3281853281853282,0.5266821345707656,0.17948717948717952,0.7017543859649125,0.05714285714285714,0.3348127600554785,0.14814814814814792,0.05362776025236593,0.3401759530791789,0.07758620689655173,0.693502824858757,0.002857142857142857,0.18885827976737066,0.6382165605095542,0.6068281938325992,0.9609967497291441,0.8531791907514451,0.6069182389937107,0.8940568475452195,0.6806083650190116,0.9158249158249159
0.017964071856287425,0.38888888888888884,0.20393120393120392,0.1988372093023256,0.00942408376963351,0.6323119777158775,0.02247191011235955,0.2276075998449011,0.5,0.2391752577319588,0.020151133501259452,0.6666666666666666,0.04444444444444444,0.22266244057052298,0.4615384615384617,0.2046332046332046,0.31554524361948955,0.1076923076923077,0.785714285714286,0.0857142857142857,0.3029126213592233,0.18518518518518512,0.2555205047318612,0.4780058651026393,0.4224137931034483,0.7005649717514123,0.01714285714285714,0.16467707376798288,0.5859872611464969,0.47577092511013214,0.9100758396533045,0.8699196448706841,0.19916142557651992,0.08656330749354008,0.15842839036755385,0.0
0.017964071856287425,0.6666666666666665,0.24815724815724818,0.24069767441860465,0.024083769633507862,0.6712147222042281,0.025280898876404494,0.3606048856145793,0.8333333333333339,0.22886597938144332,0.0579345088161209,0.6165549633936261,0.04444444444444444,0.4195721077654517,0.9230769230769234,0.20849420849420847,0.24129930394431554,0.1282051282051282,0.6612591790760951,0.05714285714285714,0.45270457697642164,0.48148148148148184,0.025236593059936908,0.16129032258064516,0.03017241379310345,0.7196576935859088,0.0,0.3174165901438628,0.5541401273885351,0.6266519823788548,0.9274106175514625,0.9028901734104046,0.6687631027253669,0.9315245478036176,0.7427122940430926,0.9057239057239057
0.017964071856287425,0.5555555555555558,0.33660933660933656,0.2581395348837209,0.02617801047120419,0.7381615598885796,0.058988764044943826,0.16207832493214425,0.583333333333333,0.2597938144329897,0.03400503778337531,0.679398148148148,0.04444444444444444,0.16798732171156894,0.6153846153846159,0.2548262548262548,0.38979118329466356,0.1282051282051282,0.8308270676691731,0.11428571428571428,0.29542302357836336,0.2592592592592591,0.04100946372239747,0.20234604105571846,0.02586206896551724,0.7641242937853107,0.0,0.17171717171717174,0.5248407643312102,0.5275330396475773,0.8732394366197183,0.8601156069364161,0.7033542976939203,0.9160206718346253,0.6983523447401774,0.9158249158249159
0.03413173652694611,0.6111111111111112,0.36363636363636365,0.43488372093023253,0.036649214659685875,0.7938718662952647,0.1095505617977528,0.2943001163241566,0.583333333333333,0.3030927835051547,0.03904282115869018,0.7268518518518519,0.04444444444444444,0.27773375594294775,0.6153846153846159,0.37200269264397523,0.6867749419953596,0.28205128205128205,0.7343358395989976,0.02857142857142857,0.3567267683772538,0.22222222222222188,0.06624605678233439,0.2639296187683285,0.06896551724137931,0.8079096045197741,0.0,0.15916743189470464,0.4902650503390179,0.35242290748898675,0.9642470205850489,0.8699196448706841,0.7578616352201258,0.8656330749354004,0.7477820025348543,0.8597081930415263
0.041916167664670656,0.6666666666666665,0.2407862407862408,0.2755813953488372,0.021989528795811522,0.7506963788300836,0.07303370786516854,0.25901512214036443,0.583333333333333,0.18969072164948453,0.020151133501259452,0.7175925925925924,0.022222222222222223,0.2670364500792393,0.384615384615385,0.28957528957528955,0.45707656612529,0.1076923076923077,0.8208020050125315,0.02857142857142857,0.3287101248266297,0.18518518518518512,0.03785488958990536,0.22580645161290322,0.06896551724137931,0.8079096045197741,0.002857142857142857,0.1854912764003673,0.22802547770700637,0.47577092511013214,0.9458288190682558,0.8890173410404624,0.7085953878406709,0.8888888888888891,0.6818757921419518,0.8305274971941637
0.03293413173652694,0.5555555555555558,0.39312039312039315,0.3789514797125385,0.04502617801047121,0.8454038997214487,0.17134831460674158,0.28421868941450174,0.4166666666666661,0.3298969072164949,0.037783375314861464,0.6944444444444443,0.08888888888888889,0.32290015847860537,0.5384615384615383,0.33976833976833976,0.4502235082281486,0.0871794871794872,0.9624060150375942,0.11428571428571428,0.3869625520110957,0.2962962962962963,0.028391167192429023,0.22960321255523738,0.03879310344827587,0.9053672316384181,0.02857142857142857,0.23875114784205695,0.5095541401273885,0.6002202643171807,0.9133261105092091,0.9398843930635837,0.6961987973738059,0.9573643410852712,0.7434293245269872,0.914702581369248
