Grievances,Rotate,Union,Workforce,Log_workforce
0.01935483870967742,1.0,1.0,0.12144420131291027,0.5902325036114462
0.0,0.0,0.0,0.05470459518599562,0.44382338389026776
0.0,0.0,0.0,0.010940919037199124,0.19489489549160377
0.0,1.0,0.0,0.22538293216630195,0.7083461663033693
0.44516129032258067,0.0,1.0,0.42778993435448576,0.8330031534333079
0.0,0.0,0.0,0.010940919037199124,0.19489489549160377
0.11612903225806452,1.0,1.0,0.2210065645514223,0.7045608541094978
0.03225806451612903,1.0,1.0,0.18380743982494527,0.6690961548778865
0.0,0.0,0.0,0.00437636761487965,0.10150399097088786
0.1935483870967742,1.0,1.0,0.28665207877461707,0.7549223961324244
0.0,1.0,0.0,0.09299781181619256,0.5402961882601672
0.0,1.0,0.0,0.044857768052516414,0.40901043394977954
0.0064516129032258064,1.0,1.0,0.06892778993435449,0.48530484182163935
0.07741935483870968,1.0,1.0,0.2221006564551422,0.7055126465194005
0.16129032258064516,0.0,1.0,0.5798687089715536,0.8926521228547414
0.2129032258064516,0.0,1.0,0.04923413566739606,0.425240580931167
0.05161290322580645,0.0,1.0,0.5054704595185995,0.8656959311371236
0.0,0.0,0.0,0.020787746170678335,0.2835745269353278
0.14193548387096774,1.0,1.0,0.5098468271334792,0.8673869026211051
0.0,0.0,0.0,0.020787746170678335,0.2835745269353278
0.0,0.0,0.0,0.07549234135667396,0.5018727856917187
0.03870967741935484,1.0,1.0,0.2910284463894967,0.7578652031450878
0.07741935483870968,1.0,1.0,0.1772428884026258,0.6621216426466586
0.13548387096774195,0.0,1.0,0.38402625820568925,0.8119007830926698
0.27741935483870966,1.0,1.0,0.7133479212253829,0.9334003628335993
0.0,1.0,0.0,0.06236323851203501,0.46722674715505474
0.0064516129032258064,1.0,1.0,0.07768052516411378,0.5071026763448788
0.0,0.0,0.0,0.00437636761487965,0.10150399097088786
0.012903225806451613,1.0,1.0,0.09518599562363238,0.5446160143543808
0.2645161290322581,0.0,1.0,0.4321663019693654,0.834994168036069
0.0,1.0,0.0,0.49234135667396056,0.860533599861702
0.0,0.0,0.0,0.0010940919037199124,0.030630229642273077
0.33548387096774196,1.0,1.0,0.6586433260393872,0.917696781590467
0.03225806451612903,0.0,1.0,0.08315098468271334,0.5196031482670026
0.03870967741935484,1.0,1.0,0.44638949671772427,0.8413348143408689
0.2903225806451613,1.0,1.0,0.6269146608315098,0.9079861145608342
0.0,0.0,0.0,0.06892778993435449,0.48530484182163935
0.0064516129032258064,1.0,1.0,0.4978118161925601,0.8627014610708957
0.0,1.0,0.0,0.20021881838074396,0.6855269929519673
0.012903225806451613,1.0,1.0,0.07768052516411378,0.5071026763448788
0.03225806451612903,1.0,1.0,0.4934354485776805,0.8609687617359582
0.012903225806451613,1.0,1.0,0.14660831509846825,0.6258939198547075
0.03870967741935484,1.0,1.0,0.20787746170678334,0.6927518722889315
0.025806451612903226,1.0,1.0,0.18818380743982493,0.6736107109432282
0.06451612903225806,0.0,1.0,0.3424507658643326,0.7895366420207407
0.0,0.0,0.0,0.01641137855579869,0.24892848839866388
0.0,0.0,0.0,0.0,0.0
0.08387096774193549,0.0,1.0,0.04266958424507659,0.40036879472083076
0.0,0.0,1.0,0.047045951859956234,0.4172904318037758
0.0,0.0,0.0,0.05142231947483589,0.4328827387776919
0.09032258064516129,0.0,1.0,0.08096280087527352,0.5146971452188825
0.05161290322580645,1.0,1.0,0.10940919037199125,0.5706144525405306
0.17419354838709677,0.0,1.0,0.5175054704595186,0.8703118262690731
0.0,0.0,0.0,0.04814004376367615,0.4213042536576449
0.0,0.0,1.0,0.047045951859956234,0.4172904318037758
0.14193548387096774,0.0,1.0,0.04266958424507659,0.40036879472083076
0.0,0.0,0.0,0.00437636761487965,0.10150399097088786
0.0,0.0,1.0,0.03063457330415755,0.34467204889709313
0.012903225806451613,1.0,1.0,0.09956236323851203,0.5529834419913324
0.25806451612903225,1.0,1.0,0.9015317286652078,0.9795454048694415
0.0,1.0,0.0,0.06345733041575492,0.4703563359767595
0.012903225806451613,0.0,1.0,0.03391684901531729,0.36147446354873514
0.05161290322580645,1.0,1.0,0.13785557986870894,0.6142021734249226
0.432258064516129,1.0,1.0,0.6761487964989059,0.9228591128658886
0.0064516129032258064,0.0,1.0,0.047045951859956234,0.4172904318037758
0.012903225806451613,1.0,1.0,0.08424507658643327,0.5220114413793241
0.0967741935483871,0.0,1.0,0.11050328227571116,0.5724802835904234
0.432258064516129,1.0,1.0,0.6717724288840262,0.9215814458104244
0.0,0.0,0.0,0.003282275711159738,0.08056654499355209
0.06451612903225806,0.0,1.0,0.13129102844638948,0.6049584609178936
0.04516129032258064,1.0,1.0,0.4628008752735229,0.848406691557661
0.25806451612903225,0.0,1.0,0.08533916849015317,0.5243919159243414
0.0,1.0,0.0,0.04157549234135667,0.3959039146685319
0.12258064516129032,1.0,1.0,0.74945295404814,0.9431249391468842
0.0,1.0,0.0,0.22538293216630195,0.7083461663033693
0.03870967741935484,0.0,1.0,0.0787746170678337,0.509665958617894
0.0,0.0,0.0,0.06236323851203501,0.46722674715505474
0.0,0.0,1.0,0.03063457330415755,0.34467204889709313
0.03225806451612903,1.0,1.0,0.3183807439824945,0.7753372504525485
0.0,1.0,0.0,0.16301969365426694,0.6461200053252686
0.06451612903225806,1.0,1.0,0.2833698030634573,0.7526849885049706
0.2903225806451613,1.0,1.0,0.437636761487965,0.8374561112424767
0.4967741935483871,1.0,1.0,0.6487964989059081,0.9147341041725866
0.05806451612903226,0.0,1.0,0.4004376367614879,0.8200774548395365
0.23225806451612904,0.0,1.0,0.3172866520787746,0.7746676177967299
0.03870967741935484,0.0,1.0,0.3435448577680525,0.7901585857040384
0.0,1.0,0.0,0.038293216630196934,0.38187143450416383
0.0,0.0,0.0,0.013129102844638951,0.21829825875639075
0.012903225806451613,0.0,1.0,0.0787746170678337,0.509665958617894
0.18064516129032257,0.0,1.0,0.0886214442013129,0.5313644411150477
0.0,1.0,0.0,0.149890590809628,0.6301064457607484
0.03870967741935484,1.0,1.0,0.13129102844638948,0.6049584609178936
0.0,0.0,0.0,0.20021881838074396,0.6855269929519673
0.05161290322580645,0.0,1.0,0.11706783369803063,0.5833215766769131
0.43870967741935485,1.0,1.0,0.9234135667396061,0.9842765483516506
0.0,0.0,0.0,0.11925601750547045,0.5868068457520055
0.25806451612903225,1.0,1.0,0.30196936542669583,0.7650404064690092
0.14838709677419354,0.0,1.0,0.5667396061269147,0.8881534631135733
0.0,0.0,0.0,0.06017505470459518,0.46081655443199454
0.0,0.0,0.0,0.045951859956236324,0.41319315424799463
0.09032258064516129,1.0,1.0,0.26258205689277897,0.7379014070233935
0.03870967741935484,1.0,1.0,0.4387308533916849,0.8379449232108193
0.03225806451612903,0.0,1.0,0.07658643326039387,0.5045036273424724
0.0,0.0,0.0,0.06892778993435449,0.48530484182163935
0.0,1.0,0.0,0.16411378555798686,0.6473976723807328
0.07096774193548387,0.0,1.0,0.4989059080962801,0.8631306618235867
0.05161290322580645,0.0,1.0,0.08315098468271334,0.5196031482670026
0.0,0.0,0.0,0.010940919037199124,0.19489489549160377
0.012903225806451613,0.0,1.0,0.15536105032822756,0.636935904033891
0.896774193548387,1.0,1.0,0.9999999999999999,1.0
0.03225806451612903,0.0,1.0,0.46061269146608314,0.8474767565934972
0.1032258064516129,1.0,1.0,0.5733041575492341,0.8904167022678094
0.05161290322580645,1.0,1.0,0.16958424507658643,0.6536647981862295
0.0,0.0,0.0,0.010940919037199124,0.19489489549160377
