att1,att2,att3,att4,att5,att6
0.0,0.3333333333333333,0.0,0.37827090037034783,0.3117849826940736,0.21108409313444165
1.0,0.0,0.4,0.2660433489162771,0.08483506392597306,0.02491213459929055
0.5,0.0,0.0,0.21213041102543861,0.10544818817546098,0.010502225885710342
0.5,0.16666666666666666,0.2,0.26215773177099144,0.1564053118598573,0.1030008265646747
0.5,0.16666666666666666,0.2,0.36690243458199256,0.1983435756163031,0.1382155881613703
1.0,0.0,0.4,0.27771537854410766,0.09653669562760481,0.030945024018484535
0.0,0.6666666666666666,0.4,0.4892386618905956,0.42485342939888404,0.34796486407894206
0.0,0.3333333333333333,0.0,0.346502944569243,0.38950837041746145,0.2222709121731089
1.0,0.0,0.4,0.3006951611923988,0.13844599844599859,0.06561603056923031
0.0,0.3333333333333333,0.0,0.791891809847611,0.7311436038708766,0.7058158481492397
0.5,0.0,0.0,0.2512294335498756,0.09256127710673179,0.01863752293524272
0.0,0.3333333333333333,0.0,0.507057859267804,0.5478017941654306,0.4140124237847846
1.0,0.0,0.4,0.33740361848096645,0.20362788726425085,0.04641183721727095
0.0,0.6666666666666666,0.4,0.7829063201991379,0.6088811188811191,0.6081029652060396
0.0,0.3333333333333333,0.0,0.7449304838807601,0.7315278660733208,0.6387975222992363
0.0,0.6666666666666666,0.4,0.5229342480723697,0.5098255280073462,0.47649350888836534
0.0,0.6666666666666666,0.4,0.4974652419403801,0.5296983824256553,0.34136775498505034
0.5,0.16666666666666666,0.2,0.2959292089126343,0.2125965953238681,0.14288058132809173
0.5,0.16666666666666666,0.2,0.2607158035334832,0.1957031857031858,0.13858916233518964
0.5,0.0,0.0,0.21439196162953067,0.15473476018930565,0.006829995352876289
0.0,0.5,0.2,0.43330702446724534,0.4601645828918558,0.39654530375547775
0.0,0.5,0.2,0.8541982878999453,0.588725012361376,0.8176557191602897
0.5,0.16666666666666666,0.2,0.28443931758848884,0.19059758423394801,0.1370438103431063
0.0,0.3333333333333333,0.0,0.4304231679922287,0.41073038073038093,0.2578553986725959
0.0,0.5,0.2,0.7704753809726185,0.688532881260154,0.7091099347115106
0.0,0.3333333333333333,0.0,0.5502398154331855,0.44913752913752913,0.44986675919015234
0.0,0.5,0.2,0.641308967275818,0.6038362647453558,0.588711966264338
0.5,0.16666666666666666,0.2,0.32529901038188325,0.2796538814720634,0.16331032234972143
0.5,0.16666666666666666,0.2,0.3714255357901767,0.3396192696192696,0.18229372484044754
0.0,0.3333333333333333,0.0,0.5878969097201142,0.49416331143603875,0.49099336591487025
1.0,0.0,0.4,0.21815615323902615,0.13073461891643723,0.027862236209356184
0.5,0.0,0.0,0.17409386193916576,0.049311294765840175,0.011095009099036948
0.5,0.16666666666666666,0.2,0.282557221783741,0.16011089920180832,0.13854365633851373
0.0,0.5,0.2,0.4572278550179102,0.3983103764921946,0.4022606776867442
0.0,0.5,0.2,0.8715849068059013,0.6636448400084763,0.8547035873140545
0.0,0.5,0.2,0.7238479752291905,0.7434096206823478,0.588480937045092
0.0,0.3333333333333333,0.0,0.5506951611923986,0.6492710319983047,0.49960472256141103
0.5,0.0,0.0,0.2430635662679861,0.15023592569047128,0.02427480580097434
0.5,0.16666666666666666,0.2,0.2687450670876085,0.29376845376845384,0.12337592695502399
0.0,0.3333333333333333,0.0,0.22425778641248262,0.17511054601963705,0.0899401411812729
0.0,0.5,0.2,0.6369831825632929,0.5932528077982625,0.5775967925489812
0.5,0.16666666666666666,0.2,0.2611559711007224,0.29772621318075865,0.14681308863473957
0.5,0.0,0.0,0.2618997025074371,0.14264886628523,0.026795212441317925
0.0,0.3333333333333333,0.0,0.3992926962540223,0.3269414423959879,0.24723955603480774
0.0,1.0,0.4,0.11543014996053669,0.22414918414918417,0.20179928842473344
0.0,0.3333333333333333,0.0,0.6370438953311882,0.5520187892915166,0.525388776028253
0.0,0.3333333333333333,0.0,0.296870256815008,0.3164985519530975,0.20900386609236526
0.5,0.16666666666666666,0.2,0.3020763766620119,0.20014763014763026,0.14840227907508108
0.0,0.5,0.2,0.6473954222573007,0.566887052341598,0.5782018711890067
0.5,0.0,0.0,0.24049845182441865,0.1021621812530904,0.016001230543868372
0.5,0.0,0.0,0.20774391354501853,0.058711591438864175,0.010369666758027321
0.0,0.3333333333333333,0.0,0.25317983121850507,0.09118316027406947,0.12051425469000053
0.0,0.3333333333333333,0.0,0.35228583571125005,0.2979148124602672,0.19705613842529002
